2025-10-03 19:33:01 | INFO     | src.api.server:create_app | FastAPI application created successfully
2025-10-03 19:33:46 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206001_Key_Aggregates.xlsx
2025-10-03 19:33:47 | INFO     | src.data.processors.tabular_processor:process_file | Created 15 chunks from 5206001_Key_Aggregates.xlsx
2025-10-03 19:33:47 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206002_Expenditure_Volume_Measures.xlsx
2025-10-03 19:33:47 | INFO     | src.data.processors.tabular_processor:process_file | Created 30 chunks from 5206002_Expenditure_Volume_Measures.xlsx
2025-10-03 19:33:47 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206003_Expenditure_Current_Price.xlsx
2025-10-03 19:33:47 | INFO     | src.data.processors.tabular_processor:process_file | Created 18 chunks from 5206003_Expenditure_Current_Price.xlsx
2025-10-03 19:33:47 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206004_Expenditure_Price_Indexes.xlsx
2025-10-03 19:33:47 | INFO     | src.data.processors.tabular_processor:process_file | Created 10 chunks from 5206004_Expenditure_Price_Indexes.xlsx
2025-10-03 19:33:47 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206005_Expenditure_Implicit_Price_Deflators.xlsx
2025-10-03 19:33:47 | INFO     | src.data.processors.tabular_processor:process_file | Created 10 chunks from 5206005_Expenditure_Implicit_Price_Deflators.xlsx
2025-10-03 19:33:47 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206006_Industry_GVA.xlsx
2025-10-03 19:33:47 | INFO     | src.data.processors.tabular_processor:process_file | Created 38 chunks from 5206006_Industry_GVA.xlsx
2025-10-03 19:33:47 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206007_Income_From_GDP.xlsx
2025-10-03 19:33:48 | INFO     | src.data.processors.tabular_processor:process_file | Created 12 chunks from 5206007_Income_From_GDP.xlsx
2025-10-03 19:33:48 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206008_Household_Final_Consumption_Expenditure.xlsx
2025-10-03 19:33:48 | INFO     | src.data.processors.tabular_processor:process_file | Created 25 chunks from 5206008_Household_Final_Consumption_Expenditure.xlsx
2025-10-03 19:33:48 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206009_Changes_In_Inventories.xlsx
2025-10-03 19:33:48 | INFO     | src.data.processors.tabular_processor:process_file | Created 8 chunks from 5206009_Changes_In_Inventories.xlsx
2025-10-03 19:33:48 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206010_Agricultural_Income.xlsx
2025-10-03 19:33:48 | INFO     | src.data.processors.tabular_processor:process_file | Created 5 chunks from 5206010_Agricultural_Income.xlsx
2025-10-03 19:33:48 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206011_National_Income_Account.xlsx
2025-10-03 19:33:48 | INFO     | src.data.processors.tabular_processor:process_file | Created 8 chunks from 5206011_National_Income_Account.xlsx
2025-10-03 19:33:48 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206012_National_Capital_Account.xlsx
2025-10-03 19:33:48 | INFO     | src.data.processors.tabular_processor:process_file | Created 8 chunks from 5206012_National_Capital_Account.xlsx
2025-10-03 19:33:48 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206013_NFC_Income.xlsx
2025-10-03 19:33:48 | INFO     | src.data.processors.tabular_processor:process_file | Created 12 chunks from 5206013_NFC_Income.xlsx
2025-10-03 19:33:48 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206014_PriNFC_Income.xlsx
2025-10-03 19:33:48 | INFO     | src.data.processors.tabular_processor:process_file | Created 11 chunks from 5206014_PriNFC_Income.xlsx
2025-10-03 19:33:48 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206015_PubNFC_Income.xlsx
2025-10-03 19:33:49 | INFO     | src.data.processors.tabular_processor:process_file | Created 11 chunks from 5206015_PubNFC_Income.xlsx
2025-10-03 19:33:49 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206016_FC_Income.xlsx
2025-10-03 19:33:49 | INFO     | src.data.processors.tabular_processor:process_file | Created 11 chunks from 5206016_FC_Income.xlsx
2025-10-03 19:33:49 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206017_Gen_Govt_Income_Account.xlsx
2025-10-03 19:33:49 | INFO     | src.data.processors.tabular_processor:process_file | Created 13 chunks from 5206017_Gen_Govt_Income_Account.xlsx
2025-10-03 19:33:49 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206018_Nat_Gen_Govt_Income_Account.xlsx
2025-10-03 19:33:49 | INFO     | src.data.processors.tabular_processor:process_file | Created 14 chunks from 5206018_Nat_Gen_Govt_Income_Account.xlsx
2025-10-03 19:33:49 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206019_StateLocal_Gen_Govt_Income_Account.xlsx
2025-10-03 19:33:49 | INFO     | src.data.processors.tabular_processor:process_file | Created 12 chunks from 5206019_StateLocal_Gen_Govt_Income_Account.xlsx
2025-10-03 19:33:49 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206020_Household_Income.xlsx
2025-10-03 19:33:49 | INFO     | src.data.processors.tabular_processor:process_file | Created 14 chunks from 5206020_Household_Income.xlsx
2025-10-03 19:33:49 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206021_External_Account.xlsx
2025-10-03 19:33:49 | INFO     | src.data.processors.tabular_processor:process_file | Created 7 chunks from 5206021_External_Account.xlsx
2025-10-03 19:33:49 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206022_Taxes.xlsx
